text,Americans,Arabs,Belorussians,Caucasians,Central-Asian,Chinese,Dark-skinned,Indian,Japanese,Jews,Koreans,Latvians-Estonians,Lithuanians,Mexicans,NA,Other,Other-African,Other-Asians,Other-European,Palestinians,Poles,Roma,Russians,Ukrainians,Canadians
"Taikos derybos prasides tada kai jankiai su savo isbarstytais zaisliukais pasdaulyje persikel i savo šali,tada ir prasides taika.",1.0,,,,,,,,,,,,,,,,,,,,,,,,
Taip,,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Taip Rusijoje putinjungizmas banguoja. Šlykštu, bet reikia ruoštis karui, nes prakeikti rusai jau siučia savo ordą prie Lietuvos sienų. O mūsiškiai kacapų šiknalaižiai dar nori nuleisti Lietuvos armijai kraują...",,,,,,,,,,,,,,,,,,,,,,,1.0,,
"Taip apie europa ir galvoju. Kazkur pietuose Ispanija, Graikija, Kipras, Malta (tik ne bulgarija ir turkija). niekur nesu buves, tad pirmam kartui kukliai uzteks. Tik va ziuriu kad su maistu ne kas, jeigu pvz 900-1200lt, tai be maitinimo.",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Taip buvo pasakyta straipsnyje ir taip jie buvo apibūdinti praevių, policijos. Akivaizdu, kad bent 2 pusiau čigonai, ar kiti mišrūnai",,,,,,,,,,,,,,,,,,,,,,1.0,,,
"Taip ir reikia tokiom kalem, kurios bega paskui kiekvieno nigerio pimpala, prigimdo vaiku, o tada jau prisimena ir Lietuva.",,,,,,,1.0,,,,,,,,,,,,,,,,,,
"Taip ir rems iki paskutinio ukrainiečio? Keista meilė, sakyčiau.",,,,,,,,,,,,,,,,,,,,,,,,0.0,
Taip ir toliau juodasiknius siuskit namo,,,,,,,1.0,,,,,,,,,,,,,,,,,,
"Taip ir turi but, ko kito tikejos kai teises lygino? ko tie antirasistai tikejos, teisiu gynejai? isdegins viska is vogs negrai galesit ant tuscio plento teises lygint",,,,,,,1.0,,,,,,,,,,,,,,,,,,
"Taip niekas ir nesuprato apie ka cia.Rusai tikrai turi pazangias ekologines technologijas,kai kurias nupirko japonai,turintys pazangiausia zemes uki pasaulyje.",,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,
"Taip rusžydžiams sunku gyventi svetur ,vogti sunkiau. Šliaumijoj jis už tokius darbelius jau būtų seniai pakastas ,tad ieško asilėlių pusiau komunistinėse šalyse,kur iš tų šalių vadovų gerklių, dar garuoja komunistinis tvaikas.",,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,
"Taip zydai daro moralini spaudima prezidentui Nausedai. Prezidente, ka pasirinksi – savo tauta ar isgamas sionistus?",,,,,,,,,,1.0,,,,,,,,,,,,,,,
"Taip, aš buvau skeptikas Lietuvos kariuomenės atžvilgiu, dabar požiūris pasikeitė 180 laipsnių... Manyčiau labai geras pasakymas - skirti nuo lito 2 cnt. Taigi gal realiai tai reikėtų įteisinti, kad kiekvienas matytų ir galėtų dalyvauti tėvynės krašto apsaugos kūrime ir finansavime. Tik taip būtų aišku kur patenka pinigai ir niekas tam nesipriešintų. Todėl siūlau sukurti krašto gynybos fondą į kurį nuo kiekvieno asmens (dirbančio) lito butų pervedami 2 cnt (o gal ir daugiau)",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Taip, muštis negerai. Bet už savus atstovėti būtina. Moteriškės čia besipiktinančios chuliganizmais galėtų ir patylėti. Jei mūsų nebūtų, jos per miestą ramiai nepraeitų neužkabintos. Čigonų ar kokių pietiečių. Vyras, atletas dvimetrinis, dabar verkia visam pasauliui, kad nuo balto gavo į liūlį. Kitas dar geresnis. Apsauginis vadinasi, algai gaut savo ispaniškai. O jei prieš jį būtų stojęs mūsų lietuviškas apsauginis? Ką dabar skaitytume, nekrologą?",,,,,,,,,,,,,,,,,,,,,,1.0,,,
"Taip, tiesiog nekreipkit dėmesio į problemą ir įkaskit galvas į smėlį.. nuo 2017 metų Lietuva jau įsileido šimtus tūkstančių rusakalbių, ir dabar tie tarakonai pasklidę po visą sostinę ir visus didžiuosius miestus. Jie oficialiai ir tarpusavyje grasina iš mūsų atimti viską, bet taip būkime aveles ir laukime, kol viskas taps nekontroliuojama, kokie kvaili lietuviai , kad nesuvokia, kas iš tikrųjų vyksta..",,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,
"Taisykle be jokiu isimciu. Jeigu pedolandzbergistas, nacistas, banderovcas ar sionistas(kas is esmes yra vienas ir tas pats) paragauja nekaltu zmoniu kraujo, jis ant amziu amzinuju virsta vampyru su kruvinu snukiu. Jis ima esti gyvus zmones o laisvu nuo zmoniu edimo laiku vietoje ir ne vietoje(kartais, visiskai nevalingai) ima staugti y Trumpo Menuly ir rekti „Slava Ukraini“ ir „Am Israel Chai“. Padeti cia gali tik uosinis kuolas, pyne cesnaku o geriausiai - ""Iskander -M"" apslakstytas sventintu vandeniu...",,,,,,,,,,1.0,,,,,,,,,,,,,,,
"Talmudu autoriai ne zydai, bet juos gali skaityt iki galo tik Rabinas. Tai kas perskaite nuo - iki...?",,,,,,,,,,0.0,,,,,,,,,,,,,,,
"Tambovo rajono? lol, redaktoriau, išsiblaivyk :D",,,,,,,,,,,,,,,0.0,,,,,,,,,,
Tarakonai su bulba priešakyje.,,1.0,,,,,,,,,,,,,,,,,,,,,,,
"Tarybinė Enciklopedija (1970m) Donetsko sritis: 53% ukrainiečių, 40,6% rusų. Rusai neturi daugumos šiame regione.",,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Tas pats kaip Wafen SS.,,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Tatjana Mitkova? Gal kas turi geresnę atminti,bet regis tai ta pati žurnalistė dėl kurios buvo didelis sujudimas,ji buvo atleista iš darbo Maskvoje už Lietuvos palaikymą? Lietuvoje sklandė pasiūlymai jai suteikti darbą Lietuvoje? Taigi įsigijome dar du draugus"",kurių balsai Rusijoje yra plačiai girdimi. Bet mums svarbiausia principai.""",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Tau gerai, kai uz komentara sumoka 30 rubliu",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Tau neturėtų rūpėti Lietuvos išvogimas... Rūpinkis savo tėvyne, kacape.",,,,,,,,,,,,,,,,,,,,,,,1.0,,
Tau tuparylui ruskeliai seniai isplove.,,,,,,,,,,,,,,,,,,,,,,,0.0,,
"Tauta be valstybės , savigarbos . Dauguma jų save įsivaizduoja rusais su kokybės ženklu . Bando mus kiršinti nes visko pavydi , istorijos , kovų už nepriklausomybę , turėtų karaliaus , kunigaikščių . Gyvena juk mūsų istorinėse žemėse . Ar vaikai pas juos turi Mindaugo , Vytauto Gedimino ir kitų kunigaikščių vardus . Neturi nes jiems tai svetima . Kokie lietuviai , su vienu pamišėliu maskoliu susitvarkyti nesugeba .",,,1.0,,,,,,,,,,,,,,,,,,,,,,
"Tautos issigando, kam siulai mazinti parasu skaiciu?",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Tavo komentarai,k iek žinau, yra kolekcionuojami. O šitas bus tin saldus perliukas.",,,,,,,,,,,,,,,0.0,,,,,,,,,,
Tavo komentarą vertinu kaip neraštingumo apraiškas.,,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Taškas konstatuoja, kad Lietuvoje teisingų geros valios žmonių yra dauguma, nes dauguma- neturtingi, o parazituojančių žydų aferistų yra tik vienas kitas procentas. O landsberginių žydų aferistų atviras garbintojas yra tik vienas- Pikasas.",,,,,,,,,,1.0,,,,,,,,,,,,,,,
"Tegu koncervatoriai uzdraudzia apie Grybauskaite rasyti. Jei sitaip- balsuosiu uz Paulauska, nes matyt labai daug pavydo pas zmones- protingas, grazus, zmona grazi- puostu lietuva, o ypac burzduliui Kubiliui pavydu, nes nesuprasi ka burzduliuoja, o Paulauskas, kalba aiskiai suprantamai...balsiuosiu( ar uzsimoket nereiks?)",,,,,,,,,,,,,,,0.0,,,,,,,,,,
Tegu piz.......na toliau ju ce nebereikia,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Tegu tik mina nx.i savo šali,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Tegu visi p is cia dalbj,,,,,,,,,,,,,,,1.0,,,,,,,,,,
"Teguk Kaliingrada grazina rusai kam priklauso,nes cia jie visiskai ne prie ko.Kurilai,Karelija juos reikai grazinti kam priklauso.O Vilnius cia is viso kazkokios pievos",,,,,,,,,,,,,,,,,,,,,,,0.0,,
Tegul Allahas padeda narsiems HAMAS kovotojams kovoti prieš izraelio teroristus.,,,,,,,,,,1.0,,,,,,,,,,,,,,,
"Tegul Putinas šika ir toliau. Jankiai duos ginklų ukrams, Zelia suorganizuos totalią mobilizaciją ir antoje vasaros pusėje ar rudenio Rusija vėl prieš save turės šiokią tokią karinę jėgą, kurios įveikti nepakaks kelių dienų ar savaičių... Tegul ir toliau apsišikusio Putino apsiriję generolai savaitėmis šturmuoja eilinius rajonų centrus ar didelius kaimus... Antras frontas jau rengiamas - Padniestė, Gagaūzija gali būti įtraukta... Gėdingas išspyrimas rusų kariuomenės iš Armėnijos ir viso P. Kaukazo...",,,,,,,,,,,,,,,,,,,,,,,,1.0,
Tegul nejuokina zmoniu!!!,,,,,,,,,,,,,,,0.0,,,,,,,,,,
Tegul nepamiršta žydų skuduro išlaižyti…,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Tegul neėda gal greičiau išstips,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Tegul pradeda nuo pacio Sabatausko,,,,,,,,,,,,,,,0.0,,,,,,,,,,
Tegul tie bambalinai latviai dabar rusijos pilietybes pasipraso,,,,,,,,,,,,1.0,,,,,,,,,,,,,
"Tegul vaziuoja namo,kur maistas,vanduo skanus.reikalingi cia jie simtas metu..",,,,,,,,,,,,,,,1.0,,,,,,,,,,
Tegul visi varo lauk😉,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Tegul žydai su muslimais susibombarduoja iki paskutinio... Tada per žinias mineda ir kitus išgamas dazniau rodys!!!,,,,,,,,,,1.0,,,,,,,,,,,,,,,
"Teisingai - žydeliai iš kiekvieno šūdo politiką daro. Jeigu jie patys netvarkė savo daržinės, tai kas jiems turi sutvarkyti?",,,,,,,,,,1.0,,,,,,,,,,,,,,,
"Teisingai Seimas padarė, kad neleido tiems šūdlenkiams pakelti galvų, o įdomu, ar lenkai leidžia lietuviams, gyvenantiems Lenkijoje, rašyti pavardes lietuviškomis raidėmis? Gyvena Lietuvoje, tegu ir laikosi mūsų įstatymų. Nepatinka, tegu pyzdina iš čia, gana jau mus engė kelis šimtus metų, per juos šlėktas ir Lietuva tada nusigyveno. Supisti skerslenkiai, mat jiems santykiai atšals. Eikit šikt, nereikia mums jūsų šiltų santykių. O Seimui ir toliau taip, neleisti lenkams pakelti galvų.",,,,,,,,,,,,,,,,,,,,,1.0,,,,
"Teisingai lenkai sako, nereikia juos vienodai kaip ir lietuvius mokint. Juk visvien jie nieko neišmoko per tiek metų, tai kam juos kankinti tais mokslais, tikrai tuščias pinigų švaistymas.",,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,
"Teisingai pastebeta , as ten svedo nemaciau tik kaskoki nigeri kuris pazeidinejo keliu eismo taisykles. Nebeilgai jau liko tiems svedams svedus vaidinti.. Nigeriai , musulmonai ir homoseksualai nebeuzilgo sunaikins ta taip vadinama svedija",,,,,,,1.0,,,,,,,,,,,,,,,,,,
"Teisingai, kad neleido. Nėra čia ko okupantų, atėjusių čia su ginklu ir bandžiusių nutautinti visą Vilniaus kraštą, palikuonims daryti nuolaidas. Daugelis šitų padugnių net lietuvių kalbos iki šiol neišmoko ir vis dar gviešiasi Vilniaus krašto kuris jiems niekada nepriklausė. Tiems, kuriems kažkas nepatinka - susirinkite savo fufaikes, smirdančias skylėtas kojines ir minkit į savo polska. Čia tokius reikalavimus kelia visiški lenkų šūdarankiai proletarai su 3 klasių išsilavinimu. Pažįstu ne vieną inteligentišką ir išsilavinusį lenkų tautybės žmogų, kurie absurdu vadina tokius reikalavimus.",,,,,,,,,,,,,,,,,,,,,1.0,,,,
"Teisingai, paskelbkime 3 metų gedulą, pripažinkimę lenkų kalbą valstybine, padovanokime lenkams Vilniaus kraštą ir išleiskime įstatymą, kad lietuviai Lietuvoje yra antrarūšių vergų kasta, o žydai ir lenkai yra mūsų ponai ir valdovai. Jau pradedu džiaugtis, kad tad lenkų kukuruznikas taip sėkmingai nusileido.",,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,
"Teisingai, rebiatos, reikia ginti savo azijatiškas lakūdras. Vis 30 rublių gausit.Vperiod za lenina, za stalina , za 30 rublej...",,,,,,,,,,,,,,,,,,,,,,,1.0,,
"Teisingai,Lietuvos patriotaiir kai kurie politikai labai primena plikbajorius šlėktas- garsiai rėkauja,visus kaltina,o patys dėl tingumo ar bukumo nieko nesugeba.Jie ne tik nesimoko iš istorijos ir savų klaidų,bet laiko save beveik šventaisiais neklystančiais. Jei neatsiras protingų žmonių,galime ir vėl prarasti valstybę.",,,,,,,,,,,,,,,,,,,,,1.0,,,,
"Teisingai. Mes vis tolstame nuo jų ir tai gerai. Mūsų ir rusų pasauliai yra labai skirtingi, ir tą praraja vis gylėja. Ir Jie patys dėl to kalti.",,,,,,,,,,,,,,,,,,,,,,,0.0,,
Teisingai. Reikia ir is lietuviu pabegeliu atimti pilietyb,,,,,,,,,,,,,1.0,,,,,,,,,,,,
Teisingas sprendimas. Jei Lietuvoje - tai tik lietuviškai!,,,,,,,,,,,,,0.0,,,,,,,,,,,,
"Teisingu rusu ner ,yr mase mongolidu ,kurie tik ir ziuri kaip uzpulti ir apiplesti kaimynus. Rusia reikia izolouoti nuo civilizuoto pasaulio ir kuo greiciau. O rusofikuotus litovcus ,kurie palaiko rusyna ,su cemodanais i per vogzala i rasska.",,,,,,,,,,,,,,,,,,,,,,,1.0,,
"Teisti turi teismas, o ne aštrių pojūčių ištroškusios turgaus bobos (ar turgaus gaidžiai) ar žurnalistai. Kovokime už stiprią valstybę - kas griauna valstybę, o ne ją stato - tas tarnauja okupantams.",,,,,,,,,,,,,,,0.0,,,,,,,,,,
Teisybe labiausia siutina.O cia toki dagy po subine pakiso. Kacapeliui Viktariukui ir taip jau stogas vaziuoja. Geriau nesdintusi i savo Durdoma pasiimtu kirvuka ir statytu medines cerkves.Ir jokiu viniu!,,,,,,,,,,,,,,,,,,,,,,,1.0,,
"Teisybe labui reikia pasakyti, kad rytu vokieciai jau vaziuoja ir i Lenkija dirbti.. Rytines vokietijos sritys - tai irgi bedarbystes ir emigracijosc kamuojamos sritys.. Niekas nieko neklausia, kol tai naudinga ponui pinigui.. Kai tai bus nebenaudinga bizniui, tada ir gostarbeiteriai vaziuos namo.. Neziurint visokiu laikinu ""zmogaus teisiu""..",,,,,,,,,,,,,,,,,,,0.0,,,,,,
Teisybe sikna spaudzia - SUPRANTU,,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Teko būti..
Paliko neisdildomą įspūdį",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Teko keliauti ir su agentūrom, bet dvi paskutinės kelionės planuotos pačios, super, eini ten kur nori tu, be skubėjimo ir nurodinėjimų, valgysi ten, miegosi ten, lankysies ten ir t.t. piniginiu atžvilgiu taip pat sutaupyta daug daug daug.",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Teko su Indu lekt , masina niauke tvartu",,,,,,,,1.0,,,,,,,,,,,,,,,,,
"Teko su tokiu juodu bendrauti. Nekenčia jis Lietuvos, pasakojo kad kiekvieną “ mergą paimu klube”, o kiekvieną “ senį apvagiu”. Kabutėse rašau tai, ką pasakė angliškai. Tai kaip skėriai.",,,,,,,1.0,,,,,,,,,,,,,,,,,,
Terbakliniai,,,,,,,,,,,,,,,1.0,,,,,,,,,,
"Teroristu marsas didziuojuosi jog negyvenu barbaru salyje
🇮🇱❤️🇮🇱❤️🇮🇱❤️🇮🇱",,,,,,,,,,,,,,,1.0,,,,,,,,,,
Teroristus nesvarbu kuriuos islamo ar rusų reike naikinti bepasigailėjimo o tas u niversitetas panašu ir ruošė teroristus,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Teroristų šeimos,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Tie kurie taip daro yra patys beždžionės nes pas juos smegenys dydžio kaip makakos,,,,,,,,,,,,,,,1.0,,,,,,,,,,
"Tie rusai posovietinėse valstybėse tai lyg valstybės vėžiai. Nieko prieš rusų tautybę, bet jie kelia grėsmę šalių saugumui.",,,,,,,,,,,,,,,,,,,,,,,1.0,,
"Tie ura patriotai"" (kuriems ir pats priklausai) tai tie, kurie nenori pripažinti vienijančios šalį valstybinės kalbos ir nori sukurti savo tautinį rezervatą (bent kol kas) Lietuvoje.""",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Tiems, kurie čia kalba, kad mažai karių, kad rusai vargo nematytų užimdami Lietuvą ir pan. „Kiek reikia JAV karių, kad jie apgintų užpultą NATO šalį? Vieno“. Konradas Adenaueris. Jei puolama šalis , kurioje yra JAV kariai, amerikiečiai tai vertina kaip tiesioginę agresiją prieš pačias JAV. Tai geriau nei NATO 5 straipsnis, nors ir jo pakanka, kad visokie putiniški imperialistai nagų nekištų. Na, nebent jie savižudžiai.",0.0,,,,,,,,,,,,,,,,,,,,,,,,
Tiesa visuomet gludi per viduri. Uzdrausti kitokia nuomone - tai isbalansuoti Pasaulio harmonija.,,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Tiesiog Lietuvių yra per mažai, reikia saugot mūsų kalbą.",,,,,,,,,,,,,0.0,,,,,,,,,,,,
"Tiesiog norejau pasakyti nuosirdu aciu zurnalistams (ar dar kam nors), uz sitos situacijos paviesinima. Tikiuosi del to kris korumpuotos galvos.",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Tiesiog reikia daryt kaip latviams: nori rezidenciją turėti, laikai kalbos egzaminą. Neišlaikei, čemodan, vokzal į svajonių šalį.",,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,
Tigi. Walatko klysta: lituviai - ni arabai. Arabai lietrydžio redkolegiją (po tokių ugningų Watkos pareiškimų) sukūrentų drauge su visais ten plušančiais ponais.,,1.0,,,,,,,,,,,,,,,,,,,,,,,
"Tik nereikia musu gasdinti. Davai nusikabina tik greit savo lenkiskus uzrasus,o jei ne tai skirt 5000lt bauda ir viskas.",,,,,,,,,,,,,,,,,,,,,1.0,,,,
"Tik paprastai tokie atvejai išryškėja, jei vienas iš tėvų juodaodis, o kitas - baltasis.",,,,,,,0.0,,,,,,,,,,,,,,,,,,
Tik rusai Lietuvoj gali jaustis kaip namie.,,,,,,,,,,,,,,,,,,,,,,,0.0,,
Tik rusas....,,,,,,,,,,,,,,,,,,,,,,,0.0,,
Tik rusų nacistai ir jų kaliniai,,,,,,,,,,,,,,,,,,,,,,,1.0,,
"Tik tas ir negalejo patiketi kas laukia ka Landsbergis pasakys, o kas galvoja pats, zino nors minimaliai istorija ir stebi ivykius net neabejojo kad taip bus",,,,,,,,,,,,,,,0.0,,,,,,,,,,
Tik uz Grigaiti!!! Jie patys sauniausi ir isskirtiniausi! Amerika jusu laukia!!!,,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Tik vat pinigu nera ne tik ginkluotei, bet ir naujoms formoms Baltarusijoje",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Tik vienas klausimėlis kirba,kokį atlyginimą valytojai moka?Kaip amerikėj?",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Tikimybe yra. Tik labai jau maza. Genetika pasiskaityk. Prosenelis baltas, prosenele juoda - ju vaikams tikimybe gimt juodais 50%. Toliau mazeja po 25%. Taip kad autores baime turi pagrindo, bet jis mazas. Bet tikrai gali but.",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Tikiuosi, kad cunamis nenušluos visos Japonijos. Man taip gaila žmonių ir draugų, gyvenančių tenai. Tikiu, kad viskas greitai aprims. Stiprybės Japonijai.",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Tikiuosi, kad mes boikotuosim niekšų dalyvavimą ir tvirtai parodysime ar mes palaikome rusofašizmą, ar esame prieš jį!
Neturi būti vietos žudikams, rusofašistų teroristams vietos tarp žmonių ir NEBUS!",,,,,,,,,,,,,,,,,,,,,,,1.0,,
"Tikiuosi, kad rusai taikiai išspręs šią problemą, nes, jeigu Medvedevas išpildys savo pareiškimą viską išspręsti jėga, šalyje gali susidaryti bjauri situacija. Viena amerikiečiams kovoti prieš teroristus Irake ir visai kas kita rusams kovoti prieš savus.",0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,
"Tikrai buna bilietu, kai zaide lietuvis pilnos tribunos buvo zmoniu",,,,,,,,,,,,,0.0,,,,,,,,,,,,
"Tikrai labai padėtų, išsklaidytų netikrumo atmosferą, sukeltą nesiliaujančio Kremliaus bauginimo ir tyčiojimosi.",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Tikrai neverta, nes tos skolos eis putinui i kisene. geriiau galvoti, kaip is Amerikos inportuoti dujas",,,,,,,,,,,,,,,0.0,,,,,,,,,,
Tikrai pasieks neblogų rezultatų JEIGU dizainui pasamdys vokiečius/japonus ir variklius + visą kitą įrangą užsakinės iš Vokietijos ar Japonijos... Aišku ant surinkimo gali susimaut :D,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,
Tikras Didvyris Vaziuoja Apginti Svetimas Teritorijas,,,,,,,,,,,,,,,0.0,,,,,,,,,,
Tikri Lietuviai myzalo putos mazai piso rŕrusai muziku taura geras rusas kuris kapais atsiduoda,,,,,,,,,,,,,,,,,,,,,,,1.0,,
"Tikri lietuviai! Ne be reikalo gavo pilierybę, visks normaliai :-)",,,,,,,,,,,,,0.0,,,,,,,,,,,,
"Tikros senienos, geriau nerašytų.",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Tiksliau džihadistų religinių fanatikų koalicija ,o ten rasinę prasme negrų ir arabų kontingentas patvirtina kad Wagner kariai nenukovė nei vieno babūjino juos nušlavė beždžionės . Rusai visą laiką laimėdavo mūšius ir karus kiekybę ,bėda tame kad 21 amžiuje  prieš negrą , babajų ar kitajoza nepastatysi 5 rusus jų gerokai daugiau negu maskolių jie užmėtytu kepurėmis rusų tautą. .",,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
Tipine rusaite :),,,,,,,,,,,,,,,,,,,,,,,0.0,,
"Tipinis jankiu produktas ,jokio patriotiškumo už ilga doleri tevyne pardave",1.0,,,,,,,,,,,,,,,,,,,,,,,,
Tipiskas lietuviskasis soubiznio atstovas,,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Tipiškai rusiška: kas gero - pavogsim, o ko mums nereikia, tai sulaužysim ir grąžinsim",,,,,,,,,,,,,,,,,,,,,,,1.0,,
Tipiškas amerikozu elgesis!,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Tipo nigeriai su babuinais siautėja,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
To Zalupa .. Man atrodo tu toje Anglijoje sedi ir babajam subines plauni.,,1.0,,,,,,,,,,,,,,,,,,,,,,,
"Todėl , kad normalioje valstybėje jau turėtum teistumą.",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Todėl ir atsisakė, kad gera žurnalistė. Reiškia, nusivažiavom tiek, kad mūsų apdovanojimai jau daro gėdą ir padorūs žmonės jų atsisako. Derėtų susimąstyti, bet abejju ar taip bus.",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Todėl valstybė ir išleidžia šimtais milijonų litų, mūsų, mokesčių mokėtojų pinigų visokiems ekspertams. Elementariems paskaičiavimams, analizei nei ministerijose, nei departamentuose kompetentingų darbuotojų, kurie sugebėtų paruošti projektus, atliktų pagal pareigybes priklausantį darbą, nėra ir matomai nebus rasta"", nes yra patupdomi pagal partiškumą arba švogerystę. Tai tokios labai blogos tokelės. Bet, o ką daryti, kaip juos visus išvaikyti?""",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Todėl, kad Švedija primokės ir gins.",,,,,,,,,,,,,,,0.0,,,,,,,,,,
Toi beždžėnes dirbs Letuvoi už dika ir pensijos bus dideles,,,,,,,1.0,,,,,,,,,,,,,,,,,,
"Tokia drasi driskių tauta,bega nuo trijų vyriukų",,,,,,,,,,,,,,,,,,,,,,,1.0,,
"Tokie BK papildymai ,leis nuslępti nuo visuomenė pačius baisiausius ir žiauriausius nusikaltimus prieš nepilnamečius bei mažamečius asmenis.Po šiomis pataisomis slepiasi žodžo laisvės bei asmens teisės rinkti informaciją visiškas uždraudimas.Tai daroma tam kad apsaugoti nusikaltęlius bei jų padarytus nusikaltimus ,tokiais metodais visad dirbo KGB GRU Ir kitos kontoros.",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Tokie issilavine,kaip Istvanas,Radzis,bei kiti ju aplinkos menininkai,ten sokejai,dainininkai,na isties puikus inteligentiski zmones,bet yra isties dauguma nekokios reputacijos zmones,todel ir kratosi tokiu nuomininku, butu savininkai ,na suprantama kodel!🤔",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Tokie valdzioje ir tokie patys i valdzia braunasi. Jiems nera nieko svento: vakar jie jedinstvennikai, siandien jau patriotai"" Tamsios biografijos, neaiski politine orientacija ir didziulis nachaliskumas.""",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Toks argumentas tai pilstymas is tuscio i pilna Afrikoje, pateik visa informatcija su nourodom internete kad tikrai tai yra teisybe!",,,,,,,,,,,,,,,0.0,,,,,,,,,,
Toks vaizdas jei jav vietoj 150 butu atsiunte 152 rusija butu kapituliavus:)))))),,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Tos gincijamos Kurilu salos gana tuscios, bet yra geras kozeris ateityje, pvz pries Kinija, galint susitarti su Japonija. O kur dar Mongolija, kuri gali tapti antru Kuveitu, o kur Koreja, kuri veliau susivienys. Ne viskas ten taip paprasta.",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Treniruojasi kaip, reikalui esant, varys į vakarus.",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Troleibuse sugautas kisenvagis ir gali pradeti rekti, kad cia politinis susidorojimas, tokio lygio ir sito bernelio paaiskinimai ...... beje, taip ir daro, cigones pardavinejancios kontrabandines cigaretes labai rekia, kad del tautybes diskriminuojami romai .... o ju politika - tai tik prisivogt kuo daugiau ...",,,,,,,,,,,,,,,,,,,,,,1.0,,,
Tu apie armija kalbi ar apie nacionaliniu vertybiu posedi ?Nacis Nr 2 reichsmarsalas Geringas Niurneberge irgi nieko nezinojo apie Holokuasta. Lanbergis ka nors zino apie 1 milijono deportavima ?,,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Tu garbusis, nuo galvos nusiimk megztą beretę, nuo kojų nusiimk klumpes ir pagalvok, kad MAN NIEKAS NETRUKDO PER ATOSTOGAS GRĮŽTI APLANKYTI ARTIMŲJŲ, nu pasakyk tu man, ar kartais pasinaudoji gamtos duota žmogui dovana-mąstymu, oi negaliu, dar jis man šneka apie mokesčių dydį.....atsakyk, KĄ TAU GERO DAVĖ VALDŽIA, KAD GERIAU GYVENTUM? Iš tavo išsisukinėjimų aišku, kad NIEKO",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Tu rusiskas urode,buk zmogus bei tikras vyras,nueik i miska ir ant sakos pasikark,please !!!",,,,,,,,,,,,,,,,,,,,,,,1.0,,
"Tu tikrai manai,kad jei karas bus tarp nato ir rusu,tai rusai nenaudos taktino branduolinio ginklo? Juk kariaus pries sitiek valstybiu!",,,,,,,,,,,,,,,,,,,,,,,0.0,,
"Tu čia apie savo giminaičius kalbi , kad taip gerai žjnai ką jie veikė ?",,,,,,,,,,,,,,,0.0,,,,,,,,,,
